Espacialidades;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;mortalidade;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23
Jucás;0,49;77,2;64,59;90,73;96,35;37,13;22,33;46,37;57;23807;22,7;2,48;60,36;10,27;59,34;43;103,58;91,81;31,18;9,82;232,22;22,49;31,87;31,36
Lavras da Mangabeira;0,6;70,74;67,95;95,62;99,12;38,26;20,2;43,82;50;31090;21,8;2,25;56,42;10,68;60,41;50;108,17;91,2;28,88;8,27;288,15;25,73;36,74;31,95
Limoeiro do Norte;0,49;95,81;92,31;96,36;99,79;20,86;16,1;29,95;54;56264;17,9;2,03;44,97;7,55;42,37;46;112,1;94,01;19,21;9,52;410,03;7,98;11,29;38,03
Madalena;0,58;64,35;46,13;90,48;99,14;35,73;24,28;42,41;51;18088;21,8;2,53;60,24;7,91;62;49;109,05;95,61;26,12;9,85;225,22;34,36;47,32;27,87
Maracanaú;0,43;97,03;95,49;95,87;99,43;38,9;21,52;21,24;48;209057;20,2;1,81;44,27;4,99;41,36;52;115,92;94,46;9,6;10,23;372,91;4,59;7,29;39,36
Maranguape;0,44;86,24;78,19;95,63;99,07;38,78;23,04;23,04;60;113561;20,2;2,03;50,11;6,65;48,4;40;110,84;92,19;15,39;9,91;307,81;8,52;11,45;33,43
Marco;0,54;83,32;63,47;80,41;98,25;44,08;23,35;44,76;48;24703;29,4;2,79;62,81;6,26;57,93;52;101,01;91,58;28,6;9,28;266,87;20,27;28,84;34,34
Martinópole;0,59;81,15;65,05;90,6;98,05;43,39;38,58;47,6;53;10214;24,8;2,96;63,76;7,76;64,49;47;106,1;93;29,87;9,72;232,17;33,95;46,95;31,73
Massapê;0,47;77,77;62,75;90,14;98,84;40,24;21,2;37,96;42;35191;21,7;2,32;58,72;7,62;57,67;58;116,02;95,86;28,49;10,03;231,47;21,32;30,91;32,98
Mauriti;0,56;72,02;61,86;87,65;98,99;40,43;24,1;41,78;43;44240;22,7;2,3;57,07;7,86;57,02;57;114,39;94,53;29,51;9,83;236,11;29,78;39,16;33,73
Meruoca;0,47;77,06;57,15;82,02;99,24;43;30,8;36,22;51;13693;24,5;2,02;57,45;9,17;59,19;49;118,45;95,38;18,71;8,79;258,78;14,97;21,47;33,82
Milagres;0,47;67,85;67,11;89,47;99,33;37,21;17,7;37,66;45;28316;21,9;1,9;55,1;9,36;53,8;55;103,62;91,85;28,84;9,07;261,96;17,6;24,49;41,17
Milhã;0,54;71,93;70,65;92,66;98,84;33,01;20,34;45,6;54;13086;20,9;2,13;56,79;11,5;60,03;46;103,13;93,53;28,8;9,71;260,95;25,82;37,54;32,24
